danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,category
0.718,0.839,10,-3.074,1,0.0536,0.339,0.0,0.195,0.733,153.983,227553,4,Brazilian Funk
0.736,0.37,10,-8.33,0,0.113,0.802,2.56e-06,0.0812,0.691,162.363,121846,5,Brazilian Funk
0.655,0.498,6,-8.985,0,0.388,0.323,0.00045,0.094,0.538,87.507,134000,3,Brazilian Funk
0.908,0.829,10,-0.194,1,0.192,0.396,1.19e-05,0.326,0.705,129.924,150277,4,Brazilian Funk
0.773,0.656,8,-4.941,1,0.0359,0.117,0.0,0.0945,0.309,111.989,203587,4,Brazilian Funk
0.863,0.449,8,-7.285,0,0.543,0.732,0.0,0.0853,0.646,116.085,445000,5,Brazilian Funk
0.689,0.912,4,-2.129,0,0.156,0.708,0.0,0.262,0.641,140.079,197143,4,Brazilian Funk
0.799,0.405,1,-9.924,1,0.315,0.344,0.000155,0.159,0.529,135.092,99555,4,Brazilian Funk
0.804,0.688,1,-4.79,1,0.194,0.108,0.0,0.154,0.44,93.078,169032,4,Brazilian Funk
0.564,0.708,2,-5.409,0,0.0922,0.432,0.0,0.284,0.658,113.324,265412,5,Brazilian Funk
0.523,0.709,8,-4.924,1,0.4,0.623,7.97e-05,0.176,0.864,81.85,132000,5,Brazilian Funk
0.648,0.418,1,-7.348,1,0.0398,0.794,0.0,0.121,0.516,87.061,139541,4,Brazilian Funk
0.803,0.44,11,-5.18,0,0.0792,0.528,1.89e-06,0.198,0.879,90.058,173567,4,Brazilian Funk
0.598,0.395,2,-7.69,1,0.0958,0.899,0.0,0.121,0.905,183.844,191928,4,Brazilian Funk
0.759,0.806,8,-5.496,1,0.0902,0.543,0.0,0.154,0.857,155.066,140903,4,Brazilian Funk
0.846,0.981,5,-2.429,1,0.14,0.59,0.0,0.0849,0.848,135.073,176000,4,Brazilian Funk
0.767,0.849,0,-2.27,1,0.0422,0.000417,0.0028,0.101,0.288,130.062,223457,4,Brazilian Funk
0.802,0.443,10,-6.285,0,0.105,0.41,0.0,0.0871,0.515,115.888,248276,5,Brazilian Funk
0.79,0.859,8,-1.849,0,0.304,0.378,1.79e-05,0.0997,0.705,164.89,155152,4,Brazilian Funk
0.763,0.855,6,-5.32,1,0.0543,0.145,0.00238,0.022,0.969,165.003,149864,4,Brazilian Funk
0.72,0.456,10,-5.179,1,0.461,0.779,0.0,0.117,0.496,108.493,318251,5,Brazilian Funk
0.56,0.573,8,-4.452,1,0.324,0.278,0.0,0.0946,0.152,108.743,137678,3,Brazilian Funk
0.445,0.749,11,1.481,0,0.0437,0.51,0.0626,0.0831,0.467,84.515,136596,5,Brazilian Funk
0.78,0.333,5,-4.469,0,0.0453,0.824,0.0,0.0987,0.713,130.113,125538,4,Brazilian Funk
0.72,0.46,0,-13.05,1,0.0587,0.526,0.082,0.142,0.243,130.102,178608,4,Brazilian Funk
0.612,0.59,0,-7.611,1,0.188,0.202,3.33e-06,0.113,0.659,113.24,195139,3,Brazilian Funk
0.756,0.688,6,-5.966,0,0.308,0.485,0.0,0.0691,0.628,89.829,256000,4,Brazilian Funk
0.841,0.774,4,-5.678,0,0.0886,0.154,0.000143,0.235,0.742,159.948,196563,4,Brazilian Funk
0.615,0.507,1,-8.678,0,0.41,0.184,0.0,0.171,0.706,109.756,231529,5,Brazilian Funk
0.583,0.665,1,-3.885,1,0.18,0.314,0.0,0.112,0.463,94.329,155368,4,Brazilian Funk
0.739,0.701,1,-5.061,0,0.246,0.26,0.0,0.249,0.509,142.182,163944,4,Brazilian Funk
0.913,0.724,10,-4.866,0,0.193,0.502,0.0,0.0794,0.831,119.922,196000,4,Brazilian Funk
0.788,0.633,0,-3.164,0,0.305,0.673,0.0,0.0818,0.611,113.324,451765,5,Brazilian Funk
0.636,0.591,6,-5.862,1,0.538,0.586,0.0,0.0956,0.871,82.106,141818,3,Brazilian Funk
