ids,message
50rAuUPCO4xCW4cYGY6gRE,Brazil
4yXujiRu5pBHtanqTFVPKG,Brazil
0bMAWV9DDN2fllpvCtpzWl,Brazil
7FCZXSFH10ZcwgaGKXaDYj,Brazil
12lShKyr5n3B8qobwzxepl,Brazil
0NJuAF3mbH1EL3d8WAJ7Ra,Brazil
3KVF4VK0Kclakez9LCGYga,Brazil
2IFCM9E7M0AnBwyWXM5Not,Brazil
1evlfCwP69atq9ahcTggiu,Brazil
6uJuREXqz3BWRM2awbXrDv,Brazil
3SSb1jUojmZLbml3S3f9bN,Brazil
2hRiEBYbEY7jBAKm7QTkN1,Brazil
0wFSztnpnNA6dEL5tsOPZb,Brazil
6ajZdpWUlSnUWad6VAE154,Brazil
6lX2E81hZoy8a0bteNZeBc,Brazil
7AHSqYhBEL41VTISN6wPR1,Brazil
5zfFRWu8IjmH6g84pBOHbO,Brazil
1kD9Gx0BpKPwfz0F32iMOt,Brazil
3acR6F3KuMXVGTk9dwIrKB,Brazil
5TRRTSIsEzdxjG56pKBXvi,Brazil
0KYF47E8xIrKfUnlZOAXJF,Brazil
78cNvkjEB5SwU3xz7QyWGc,Brazil
4ionrJOZmFdEBM0nwW9TRf,Brazil
1nQ0oeFFwRsW2h6PgZWmlo,Brazil
12yoDN22yFACeVgyz9XQuN,Brazil
1QeiFzV3c26r6k9g6s5iFY,Brazil
6Obssly2gJlPrrj2lNzwLZ,Brazil
2NcbRhEgsbbUYENds2ngGm,Brazil
7vQVMorqtlcOD2vRqDTFgS,Brazil
2b0UBZsCXF1fsJ2tClZPdh,Brazil
2ZfhftG3iFfUEdb7tpMlsz,Brazil
29ZrGQad8homm9iN5mZQlp,Brazil
5Z1bAuX0pHETilmLlmUoFa,Brazil
5Dki7m3M8mJR1ozN3Mkep4,Brazil
5G0kKNRYFCoORvJ2VzwvrY,Brazil
6gjsnEQxLqVkieeloQTozN,Brazil
106SKHXoytRADjpxHBkJpV,Brazil
7CaFZOhHSC9tza2va9V6Ht,Brazil
4sAoshwHCmh4IHMQxZHwRD,Brazil
1fObLF7zErST6GaXRgsYx6,Brazil
54c72by24h4vakvgTrb3va,Brazil
3EuPKX0FLhAxfL5hZBlfJe,Brazil
1G7Tfx1FN0atFBWlsg2EPw,Brazil
5GV7OpSEb8MPTryL0Q5i6c,Brazil
0sa5feii9xmqqHHfGIoozX,Brazil
1RQZ9qv9xNcd2s0EGakV06,Brazil
0AyMqByf5UaGzZVakmsBO6,Brazil
1EsuoVRUuXx0zrQgtqLAu6,Brazil
17rW6RrdfgrnLP0s3yoclG,Brazil
0JGfG9o1vFBtgwwErtPLjO,Brazil
4JBLP76ai1eYCSxLRwnVYs,Brazil
3JTuZvqu7bWkQj1oDDM9AQ,Brazil
1DYkXK0JP9xKi3KtV8MA8I,Brazil
6RFOX9GZELy5qGmqAOcB4b,Brazil
65IQryFZeT6eTkAMqPiWjG,Brazil
5gHzoQLAjJdQv7TOns1ouh,Brazil
60w1af60Vj1JT9gJLx45MT,Brazil
5gL6pmWbQBIXwAyq4oaUCd,Brazil
7IUNNSZ3fZtHO2ThDVRcDW,Brazil
3xupM7vKARgkAVtjWkdrMu,Brazil
0DhQxWYQrM0XX0B4cql3c8,Brazil
7mXv8GBDWWlB2RPWWWDNzh,Brazil
6RjSXi9cPGroetXeNsWFGL,Brazil
5hkOhRDpLioG7QJYBqFYhd,Brazil
0KNzxNwuLbxH0XMjuwMJvj,Brazil
3kkvkvkZDxYN28ayz5xXVG,Brazil
4Eqgkx0jXA63jCu0cPG3Aq,Brazil
6wnS2ugUEttDJOnWCPJt8E,Brazil
2aewP8hWWmeCjBBLODTPy3,Brazil
3O4ypwGN1urKFzO9jIoq8Z,Brazil
3tc2FncGJBp0uZmr0pxKqN,Brazil
6GIofgAZPjLMxBDQ6RGqmV,Brazil
4bieMkyQdNwyTYtqfYWHzd,Brazil
1C3pBHC1XlFbZNUpgxBFI5,Brazil
1bRODQWZdI8q56ewtBDZg6,Brazil
1tXdYQEmJ141Qt4uwHOsqQ,Brazil
10FMXXD6DQPbywJkePNYB1,Brazil
2bDuye1TSWebEqDjxFnqZM,Brazil
0GtGtRY3SB3tlfLYiFtrEw,Brazil
5BSWVqeTFYNz8IiLPTGkty,Brazil
7vZvN246jenT29il4pZJxS,Brazil
6HC2oHUAbDJmffYKPZKtTg,Brazil
3dMvhITLoxT6Ze27LC3O49,Brazil
2aXgnQz63y5Xgufvg84oag,Brazil
6ZldzJla2q3TdHklN4wNer,Brazil
4YkZAG9vYEK6M25bTXoLIW,Brazil
3FfVfwvz6IkA2KkG3XU7mQ,Brazil
7qIGSe4spjZRaWGMzlLoks,Brazil
1SraAD8Z3lqvwpF0j1Vq1i,Brazil
2Lre1QtwxZYgG6lggcAU9M,Brazil
6lNeY9YQlX9s7qCEHZxuGx,Brazil
7bt3kG6ivWSt7CQEWE0bsf,Brazil
0CxZ4T8wuCJnA4T2RBhB7y,Brazil
11hE5O1szA53IwZdWJyyxt,Brazil
0YRf20kGEuEhIUjRxiDjAw,Brazil
0HeTPkvWX8azVNWP121ClP,Brazil
5iEA6ZdJkENzankJhWkRaE,Brazil
69po2fkILadw98ufmHx29G,Brazil
5Jt72pidOfKJrPjy7Ab8xR,Brazil
2O5G3UQiqzxumbFjLGWVOc,Brazil
0YgVM20w0W2Xe4hw2vTibU,Brazil
2ZJTnpCp73UwYp7gYt2WRF,Brazil
5EQQcQUoF1D2phHXV10Eq6,Brazil
